# Peg-length robustness for the SAME sterilising device. scenario_a=1 is the default H only. H=40 is a robustness case, not the baseline. stoch_simul is not in this file.
H,scenario_a,quarter,y,ph,cs,cb,ib,ib_nom,ib_il,rl_bp,i_bp
40,0,22,-0.26387697,-1.5486465,-0.19407427,-0.68141588,0.2038281,0.15941062,0.044417475,11.212231,-5.7029277e-14
40,0,23,-0.24930032,-1.457254,-0.18222713,-0.64448758,0.20446697,0.15840112,0.046065858,10.127929,-5.7493769e-14
40,0,24,-0.23541867,-1.3694098,-0.17137953,-0.608517,0.20463818,0.15715389,0.047484289,9.153099,-4.5334371e-14
40,0,25,-0.22222615,-1.2853064,-0.16143804,-0.57366121,0.20438941,0.15569831,0.048691101,8.2768248,-7.292462e-14
40,0,26,-0.20971168,-1.2050576,-0.15231809,-0.54003833,0.20376437,0.15406092,0.049703454,7.4892807,-6.7021801e-14
40,0,27,-0.19786001,-1.1287138,-0.14394311,-0.50773363,0.20280312,0.15226573,0.050537393,6.7816249,-3.6342095e-14
40,0,28,-0.1866527,-1.0562756,-0.13624381,-0.47680476,0.2015423,0.1503344,0.051207896,6.1459005,2.0878984e-14
40,0,29,-0.17606885,-0.98770371,-0.12915747,-0.44728626,0.20001544,0.14828651,0.05172893,5.5749474,-2.1787849e-14
40,0,30,-0.16608578,-0.92292847,-0.12262733,-0.41919353,0.1982532,0.1461397,0.0521135,5.0623223,1.5931083e-14
40,0,31,-0.1566796,-0.86185704,-0.11660205,-0.39252617,0.19628359,0.14390988,0.052373704,4.6022272,-6.539821e-14
40,0,32,-0.14782563,-0.80437969,-0.11103515,-0.36727091,0.19413218,0.14161139,0.052520783,4.189445,1.2498959e-14
40,0,33,-0.13949881,-0.75037502,-0.10588462,-0.34340405,0.1918223,0.13925713,0.052565171,3.8192811,2.6357821e-14
40,0,34,-0.131674,-0.69971429,-0.10111242,-0.32089364,0.18937524,0.13685869,0.052516542,3.4875115,-8.461261e-15
40,0,35,-0.12432627,-0.65226528,-0.096684179,-0.29970129,0.18681035,0.1344265,0.052383859,3.1903358,3.5243651e-14
40,0,36,-0.11743108,-0.60789547,-0.092568783,-0.27978366,0.1841453,0.13196988,0.052175417,2.9243347,8.5611067e-14
40,0,37,-0.11096446,-0.56647496,-0.088738113,-0.26109385,0.18139611,0.12949722,0.051898888,2.6864317,6.9132411e-14
40,0,38,-0.10490317,-0.52787912,-0.085166741,-0.24358247,0.17857737,0.12701601,0.051561358,2.4738594,-3.3197582e-14
40,0,39,-0.099224795,-0.49199112,-0.081831682,-0.22719855,0.1757023,0.12453293,0.051169371,2.2841283,-5.3680343e-14
40,0,40,-0.093907839,-0.45870446,-0.078712163,-0.21189034,0.17278291,0.12205394,0.050728961,2.114999,-6.7354799e-14
